MiniCPU - Grupo 3 - Fatorial de 5

Ciclo  47: SUB R1, R3      | R0=  5 R1=  4 R2=  1 R3=  1 | PC=118 ZF=1 | MEM[0x20]=  0
Ciclo  48: MOV R3, 0       | R0=  5 R1=  4 R2=  1 R3=  0 | PC=121 ZF=1 | MEM[0x20]=  0
Ciclo  49: CMP R1, R3      | R0=  5 R1=  4 R2=  1 R3=  0 | PC=124 ZF=0 | MEM[0x20]=  0
Ciclo  50: JNZ 0x4F        | R0=  5 R1=  4 R2=  1 R3=  0 | PC= 79 ZF=0 | MEM[0x20]=  0
Ciclo  51: STORE R0, 0x21  | R0=  5 R1=  4 R2=  1 R3=  0 | PC= 82 ZF=0 | MEM[0x20]=  0
Ciclo  52: MOV R0, 0       | R0=  0 R1=  4 R2=  1 R3=  0 | PC= 85 ZF=0 | MEM[0x20]=  0
Ciclo  53: STORE R1, 0x22  | R0=  0 R1=  4 R2=  1 R3=  0 | PC= 88 ZF=0 | MEM[0x20]=  0
Ciclo  54: LOAD R2, 0x21   | R0=  0 R1=  4 R2=  5 R3=  0 | PC= 91 ZF=0 | MEM[0x20]=  0
Ciclo  55: ADD R0, R2      | R0=  5 R1=  4 R2=  5 R3=  0 | PC= 94 ZF=0 | MEM[0x20]=  0
Ciclo  56: MOV R3, 1       | R0=  5 R1=  4 R2=  5 R3=  1 | PC= 97 ZF=0 | MEM[0x20]=  0
Ciclo  57: SUB R1, R3      | R0=  5 R1=  3 R2=  5 R3=  1 | PC=100 ZF=0 | MEM[0x20]=  0
Ciclo  58: MOV R3, 0       | R0=  5 R1=  3 R2=  5 R3=  0 | PC=103 ZF=0 | MEM[0x20]=  0
Ciclo  59: CMP R1, R3      | R0=  5 R1=  3 R2=  5 R3=  0 | PC=106 ZF=0 | MEM[0x20]=  0
Ciclo  60: JNZ 0x58        | R0=  5 R1=  3 R2=  5 R3=  0 | PC= 88 ZF=0 | MEM[0x20]=  0
Ciclo  61: LOAD R2, 0x21   | R0=  5 R1=  3 R2=  5 R3=  0 | PC= 91 ZF=0 | MEM[0x20]=  0
Ciclo  62: ADD R0, R2      | R0= 10 R1=  3 R2=  5 R3=  0 | PC= 94 ZF=0 | MEM[0x20]=  0
Ciclo  63: MOV R3, 1       | R0= 10 R1=  3 R2=  5 R3=  1 | PC= 97 ZF=0 | MEM[0x20]=  0
Ciclo  64: SUB R1, R3      | R0= 10 R1=  2 R2=  5 R3=  1 | PC=100 ZF=0 | MEM[0x20]=  0
Ciclo  65: MOV R3, 0       | R0= 10 R1=  2 R2=  5 R3=  0 | PC=103 ZF=0 | MEM[0x20]=  0
Ciclo  66: CMP R1, R3      | R0= 10 R1=  2 R2=  5 R3=  0 | PC=106 ZF=0 | MEM[0x20]=  0
Ciclo  67: JNZ 0x58        | R0= 10 R1=  2 R2=  5 R3=  0 | PC= 88 ZF=0 | MEM[0x20]=  0
Ciclo  68: LOAD R2, 0x21   | R0= 10 R1=  2 R2=  5 R3=  0 | PC= 91 ZF=0 | MEM[0x20]=  0
Ciclo  69: ADD R0, R2      | R0= 15 R1=  2 R2=  5 R3=  0 | PC= 94 ZF=0 | MEM[0x20]=  0
Ciclo  70: MOV R3, 1       | R0= 15 R1=  2 R2=  5 R3=  1 | PC= 97 ZF=0 | MEM[0x20]=  0
Ciclo  71: SUB R1, R3      | R0= 15 R1=  1 R2=  5 R3=  1 | PC=100 ZF=0 | MEM[0x20]=  0
Ciclo  72: MOV R3, 0       | R0= 15 R1=  1 R2=  5 R3=  0 | PC=103 ZF=0 | MEM[0x20]=  0
Ciclo  73: CMP R1, R3      | R0= 15 R1=  1 R2=  5 R3=  0 | PC=106 ZF=0 | MEM[0x20]=  0
Ciclo  74: JNZ 0x58        | R0= 15 R1=  1 R2=  5 R3=  0 | PC= 88 ZF=0 | MEM[0x20]=  0
Ciclo  75: LOAD R2, 0x21   | R0= 15 R1=  1 R2=  5 R3=  0 | PC= 91 ZF=0 | MEM[0x20]=  0
Ciclo  76: ADD R0, R2      | R0= 20 R1=  1 R2=  5 R3=  0 | PC= 94 ZF=0 | MEM[0x20]=  0
Ciclo  77: MOV R3, 1       | R0= 20 R1=  1 R2=  5 R3=  1 | PC= 97 ZF=0 | MEM[0x20]=  0
Ciclo  78: SUB R1, R3      | R0= 20 R1=  0 R2=  5 R3=  1 | PC=100 ZF=0 | MEM[0x20]=  0
Ciclo  79: MOV R3, 0       | R0= 20 R1=  0 R2=  5 R3=  0 | PC=103 ZF=0 | MEM[0x20]=  0
Ciclo  80: CMP R1, R3      | R0= 20 R1=  0 R2=  5 R3=  0 | PC=106 ZF=1 | MEM[0x20]=  0
Ciclo  81: JNZ 0x58        | R0= 20 R1=  0 R2=  5 R3=  0 | PC=109 ZF=1 | MEM[0x20]=  0
Ciclo  82: LOAD R1, 0x22   | R0= 20 R1=  4 R2=  5 R3=  0 | PC=112 ZF=1 | MEM[0x20]=  0
Ciclo  83: MOV R3, 1       | R0= 20 R1=  4 R2=  5 R3=  1 | PC=115 ZF=1 | MEM[0x20]=  0
Ciclo  84: SUB R1, R3      | R0= 20 R1=  3 R2=  5 R3=  1 | PC=118 ZF=1 | MEM[0x20]=  0
Ciclo  85: MOV R3, 0       | R0= 20 R1=  3 R2=  5 R3=  0 | PC=121 ZF=1 | MEM[0x20]=  0
Ciclo  86: CMP R1, R3      | R0= 20 R1=  3 R2=  5 R3=  0 | PC=124 ZF=0 | MEM[0x20]=  0
Ciclo  87: JNZ 0x4F        | R0= 20 R1=  3 R2=  5 R3=  0 | PC= 79 ZF=0 | MEM[0x20]=  0
Ciclo  88: STORE R0, 0x21  | R0= 20 R1=  3 R2=  5 R3=  0 | PC= 82 ZF=0 | MEM[0x20]=  0
Ciclo  89: MOV R0, 0       | R0=  0 R1=  3 R2=  5 R3=  0 | PC= 85 ZF=0 | MEM[0x20]=  0
Ciclo  90: STORE R1, 0x22  | R0=  0 R1=  3 R2=  5 R3=  0 | PC= 88 ZF=0 | MEM[0x20]=  0
Ciclo  91: LOAD R2, 0x21   | R0=  0 R1=  3 R2= 20 R3=  0 | PC= 91 ZF=0 | MEM[0x20]=  0
Ciclo  92: ADD R0, R2      | R0= 20 R1=  3 R2= 20 R3=  0 | PC= 94 ZF=0 | MEM[0x20]=  0
Ciclo  93: MOV R3, 1       | R0= 20 R1=  3 R2= 20 R3=  1 | PC= 97 ZF=0 | MEM[0x20]=  0
Ciclo  94: SUB R1, R3      | R0= 20 R1=  2 R2= 20 R3=  1 | PC=100 ZF=0 | MEM[0x20]=  0
Ciclo  95: MOV R3, 0       | R0= 20 R1=  2 R2= 20 R3=  0 | PC=103 ZF=0 | MEM[0x20]=  0
Ciclo  96: CMP R1, R3      | R0= 20 R1=  2 R2= 20 R3=  0 | PC=106 ZF=0 | MEM[0x20]=  0
Ciclo  97: JNZ 0x58        | R0= 20 R1=  2 R2= 20 R3=  0 | PC= 88 ZF=0 | MEM[0x20]=  0
Ciclo  98: LOAD R2, 0x21   | R0= 20 R1=  2 R2= 20 R3=  0 | PC= 91 ZF=0 | MEM[0x20]=  0
Ciclo  99: ADD R0, R2      | R0= 40 R1=  2 R2= 20 R3=  0 | PC= 94 ZF=0 | MEM[0x20]=  0
Ciclo 100: MOV R3, 1       | R0= 40 R1=  2 R2= 20 R3=  1 | PC= 97 ZF=0 | MEM[0x20]=  0
Ciclo 101: SUB R1, R3      | R0= 40 R1=  1 R2= 20 R3=  1 | PC=100 ZF=0 | MEM[0x20]=  0
